Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
LWK	NA19038	NA19038	0.36144578313253006	0.6385542168674698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
LWK	NA19017	NA19017	0.4148936170212766	0.5851063829787234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GBR	HG00112	HG00112	0.0	0.0	0.20224719101123595	0.0	0.0	0.0	0.0	0.0	0.16853932584269662	0.0	0.6292134831460675	0.0	1
ITU	HG03779	HG03779	0.0	0.368421052631579	0.19736842105263158	0.0	0.0	0.14473684210526316	0.2894736842105263	0.0	0.0	0.0	0.0	0.0	4
GWD	HG02573	HG02573	0.43	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
STU	HG03646	HG03646	0.0	0.0	0.19791666666666669	0.0	0.0	0.0	0.3541666666666667	0.19791666666666669	0.125	0.125	0.0	0.0	4
CHB	NA18532	NA18532	0.0	0.0	0.0	0.0	0.71	0.11	0.0	0.0	0.0	0.18	0.0	0.0	4
ESN	HG02944	HG02944	0.36781609195402293	0.632183908045977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
PJL	HG02600	HG02600	0.0	0.0	0.12345679012345678	0.0	0.24691358024691357	0.0	0.4320987654320987	0.0	0.0	0.0	0.19753086419753085	0.0	4
ASW	NA19901	NA19901	0.3913043478260869	0.6086956521739131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CDX	HG01800	HG01800	0.0	0.0	0.0	0.0	0.4653465346534653	0.39603960396039606	0.0	0.0	0.0	0.13861386138613863	0.0	0.0	4
KHV	HG01595	HG01595	0.0	0.0	0.0	0.0	0.5217391304347826	0.2173913043478261	0.0	0.0	0.0	0.2608695652173913	0.0	0.0	4
LWK	NA19031	NA19031	0.4578313253012048	0.5421686746987951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG02922	HG02922	0.34	0.54	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	2
TSI	NA20510	NA20510	0.0	0.29545454545454547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4545454545454546	0.25	1
