Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
CEU	NA11840	NA11840	0.0	0.0	0.0	0.14473684210526316	0.0	0.0	0.0	0.0	0.34210526315789475	0.0	0.35526315789473684	0.15789473684210525	1
PJL	HG02600	HG02600	0.0	0.0	0.2666666666666666	0.0	0.16666666666666666	0.0	0.5666666666666667	0.0	0.0	0.0	0.0	0.0	4
CDX	HG00759	HG00759	0.0	0.0	0.0	0.0	0.532608695652174	0.2282608695652174	0.0	0.0	0.0	0.2391304347826087	0.0	0.0	4
CEU	NA11918	NA11918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21739130434782605	0.0	0.5652173913043478	0.21739130434782605	1
ACB	HG01883	HG01883	0.35526315789473684	0.6447368421052632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ASW	NA19625	NA19625	0.2857142857142857	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	2
KHV	HG01595	HG01595	0.0	0.0	0.0	0.0	0.5274725274725275	0.1758241758241758	0.0	0.0	0.0	0.2967032967032967	0.0	0.0	4
ACB	HG01956	HG01956	0.3373493975903614	0.6626506024096386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CEU	NA07037	NA07037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21621621621621623	0.0	0.5135135135135135	0.2702702702702703	1
KHV	HG01847	HG01847	0.0	0.0	0.0	0.0	0.5168539325842697	0.21348314606741572	0.0	0.0	0.0	0.2696629213483146	0.0	0.0	4
CHS	HG00457	HG00457	0.0	0.0	0.0	0.0	0.5263157894736842	0.23157894736842105	0.0	0.0	0.0	0.24210526315789477	0.0	0.0	4
IBS	HG01527	HG01527	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.26666666666666666	0.0	0.4266666666666667	0.14666666666666667	1
LWK	NA19025	NA19025	0.369047619047619	0.6309523809523809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
YRI	NA18502	NA18502	0.313953488372093	0.686046511627907	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
YRI	NA18856	NA18856	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GBR	HG00116	HG00116	0.0	0.0	0.0	0.1325301204819277	0.0	0.0	0.0	0.0	0.2289156626506024	0.0	0.40963855421686746	0.2289156626506024	1
PJL	HG02604	HG02604	0.0	0.0	0.24285714285714288	0.0	0.0	0.0	0.41428571428571426	0.0	0.15714285714285717	0.0	0.18571428571428572	0.0	4
CHB	NA18535	NA18535	0.0	0.0	0.0	0.0	0.6767676767676767	0.1717171717171717	0.0	0.0	0.0	0.1515151515151515	0.0	0.0	4
JPT	NA18941	NA18941	0.0	0.0	0.0	0.0	0.44	0.56	0.0	0.0	0.0	0.0	0.0	0.0	4
CDX	HG01796	HG01796	0.0	0.0	0.0	0.0	0.5402298850574713	0.17241379310344826	0.0	0.0	0.0	0.28735632183908044	0.0	0.0	4
