Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
1KG	HG00451	HG00451	0.0	0.0	0.0	0.0	0.5531914893617021	0.22340425531914895	0.0	0.0	0.0	0.22340425531914895	0.0	0.0	4
1KG	NA19917	NA19917	0.34177215189873417	0.6582278481012658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG02583	HG02583	0.34831460674157305	0.651685393258427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG01860	HG01860	0.0	0.0	0.0	0.0	0.5280898876404495	0.20224719101123598	0.0	0.0	0.0	0.2696629213483146	0.0	0.0	4
1KG	HG03057	HG03057	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA18525	NA18525	0.0	0.0	0.0	0.0	0.68	0.12	0.0	0.0	0.0	0.2	0.0	0.0	4
1KG	HG00449	HG00449	0.0	0.0	0.0	0.0	0.5483870967741936	0.21505376344086025	0.0	0.0	0.0	0.23655913978494625	0.0	0.0	4
1KG	HG01797	HG01797	0.0	0.0	0.0	0.0	0.5222222222222221	0.18888888888888888	0.0	0.0	0.0	0.2888888888888889	0.0	0.0	4
1KG	HG03069	HG03069	0.3636363636363636	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA20511	NA20511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141025641025641	0.2051282051282051	0.0	0.43589743589743585	0.21794871794871792	1
1KG	HG00177	HG00177	0.0	0.0	0.0	0.22448979591836735	0.0	0.0	0.0	0.0	0.7755102040816326	0.0	0.0	0.0	1
1KG	HG00458	HG00458	0.0	0.0	0.0	0.0	0.5543478260869565	0.2173913043478261	0.0	0.0	0.0	0.2282608695652174	0.0	0.0	4
1KG	HG03780	HG03780	0.0	0.0	0.3064516129032258	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.1935483870967742	0.0	4
1KG	HG01031	HG01031	0.0	0.0	0.0	0.0	0.5333333333333333	0.21111111111111114	0.0	0.0	0.0	0.2555555555555556	0.0	0.0	4
1KG	NA07051	NA07051	0.0	0.0	0.0	0.12345679012345678	0.0	0.0	0.0	0.0	0.2839506172839506	0.0	0.4074074074074074	0.18518518518518517	1
1KG	HG03713	HG03713	0.0	0.0	0.2647058823529411	0.0	0.0	0.0	0.411764705882353	0.0	0.14705882352941177	0.0	0.1764705882352941	0.0	4
1KG	HG01852	HG01852	0.0	0.0	0.0	0.0	0.5393258426966292	0.20224719101123598	0.0	0.0	0.0	0.25842696629213485	0.0	0.0	4
1KG	NA20518	NA20518	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13749999999999998	0.2125	0.0	0.46249999999999997	0.18749999999999997	1
1KG	HG01510	HG01510	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7282608695652174	0.2717391304347826	1
1KG	HG01988	HG01988	0.26153846153846155	0.4923076923076923	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24615384615384614	0.0	2
1KG	HG01841	HG01841	0.0	0.0	0.0	0.0	0.5333333333333333	0.18888888888888888	0.0	0.0	0.0	0.2777777777777778	0.0	0.0	4
1KG	HG03072	HG03072	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03689	HG03689	0.0	0.0	0.37735849056603776	0.0	0.0	0.0	0.6226415094339622	0.0	0.0	0.0	0.0	0.0	4
1KG	NA19913	NA19913	0.35135135135135137	0.6486486486486487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA20850	NA20850	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
1KG	HG03442	HG03442	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA19042	NA19042	0.3580246913580246	0.6419753086419753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA19818	NA19818	0.29333333333333333	0.5466666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	2
1KG	HG03066	HG03066	0.34831460674157305	0.651685393258427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA18541	NA18541	0.0	0.0	0.0	0.0	0.5851063829787235	0.22340425531914895	0.0	0.0	0.0	0.19148936170212766	0.0	0.0	4
1KG	HG00881	HG00881	0.0	0.0	0.0	0.0	0.5384615384615384	0.18681318681318682	0.0	0.0	0.0	0.2747252747252747	0.0	0.0	4
1KG	HG02571	HG02571	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG02464	HG02464	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03917	HG03917	0.0	0.0	0.30357142857142855	0.0	0.21428571428571425	0.0	0.48214285714285715	0.0	0.0	0.0	0.0	0.0	4
1KG	HG00116	HG00116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2714285714285714	0.0	0.4857142857142857	0.24285714285714285	1
1KG	HG01504	HG01504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1
1KG	HG02595	HG02595	0.3370786516853933	0.6629213483146068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	NA18858	NA18858	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG01796	HG01796	0.0	0.0	0.0	0.0	0.5164835164835165	0.2087912087912088	0.0	0.0	0.0	0.27472527472527475	0.0	0.0	4
1KG	NA19309	NA19309	0.3536585365853658	0.6463414634146342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG01799	HG01799	0.0	0.0	0.0	0.0	0.5164835164835165	0.19780219780219782	0.0	0.0	0.0	0.28571428571428575	0.0	0.0	4
1KG	NA19315	NA19315	0.34567901234567905	0.654320987654321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG02979	HG02979	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG03388	HG03388	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
1KG	HG01503	HG01503	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13749999999999998	0.18749999999999997	0.0	0.4875	0.18749999999999997	1
