Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
CDX	HG00766	HG00766	0.0	0.0	0.25555555555555554	0.0	0.11111111111111112	0.17777777777777778	0.0	0.16666666666666666	0.0	0.2888888888888889	0.0	0.0	4
ACB	HG01890	HG01890	0.21	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01843	HG01843	0.0	0.0	0.0	0.0	0.8117647058823529	0.18823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	4
ITU	HG03773	HG03773	0.0	0.0	0.0	0.7674418604651162	0.0	0.0	0.0	0.0	0.0	0.0	0.23255813953488372	0.0	4
STU	HG03642	HG03642	0.0	0.0	0.0	0.0	0.27	0.0	0.14	0.0	0.21	0.38	0.0	0.0	4
ESN	HG03099	HG03099	0.2842105263157894	0.3578947368421052	0.3578947368421052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CHB	NA18533	NA18533	0.0	0.0	0.0	0.0	0.0	0.0	0.2872340425531915	0.1702127659574468	0.0	0.40425531914893614	0.13829787234042554	0.0	4
JPT	NA18949	NA18949	0.0	0.0	0.41	0.0	0.11	0.11	0.0	0.0	0.0	0.37	0.0	0.0	4
ACB	HG01989	HG01989	0.5578947368421052	0.28421052631578947	0.0	0.0	0.0	0.15789473684210525	0.0	0.0	0.0	0.0	0.0	0.0	2
ACB	HG01880	HG01880	0.0	0.48453608247422686	0.0	0.0	0.0	0.18556701030927836	0.21649484536082478	0.0	0.0	0.0	0.0	0.11340206185567012	2
JPT	NA18940	NA18940	0.0	0.0	0.0	0.0	0.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	4
CEU	NA11831	NA11831	0.0	0.0	0.0	0.28571428571428575	0.0	0.5102040816326531	0.0	0.0	0.20408163265306123	0.0	0.0	0.0	1
BEB	HG03920	HG03920	0.0	0.11956521739130434	0.0	0.0	0.0	0.0	0.8804347826086957	0.0	0.0	0.0	0.0	0.0	4
YRI	NA18501	NA18501	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.1	2
ACB	HG02009	HG02009	0.22580645161290322	0.0	0.5161290322580645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25806451612903225	2
