Dataset	Sample	SampleCode	Z_Africa1	Z_Africa2	Z_CentralAsia	Z_CentralEurope	Z_EastAsia	Z_FarEastAsia	Z_India	Z_NativeAmerica	Z_Scandinavia	Z_SouthEastAsia	Z_SouthEurope	Z_UK	Code
YRI	NA18504	NA18504	0.32183908045977017	0.6781609195402298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GBR	HG00118	HG00118	0.0	0.0	0.0	0.11111111111111113	0.0	0.0	0.0	0.12222222222222223	0.2	0.0	0.3666666666666667	0.2	1
ESN	HG02970	HG02970	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CHB	NA18544	NA18544	0.0	0.0	0.0	0.0	0.5638297872340425	0.2553191489361702	0.0	0.0	0.0	0.18085106382978725	0.0	0.0	4
LWK	NA19309	NA19309	0.34939759036144574	0.6506024096385542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
STU	HG03681	HG03681	0.0	0.0	0.2769230769230769	0.0	0.2	0.0	0.5230769230769231	0.0	0.0	0.0	0.0	0.0	4
YRI	NA18511	NA18511	0.36046511627906974	0.6395348837209303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
YRI	NA18519	NA18519	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CDX	HG01797	HG01797	0.0	0.0	0.0	0.0	0.550561797752809	0.16853932584269662	0.0	0.0	0.0	0.2808988764044944	0.0	0.0	4
GWD	HG02583	HG02583	0.3666666666666667	0.6333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GWD	HG02610	HG02610	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GIH	NA20868	NA20868	0.0	0.0	0.3442622950819672	0.0	0.0	0.0	0.6557377049180328	0.0	0.0	0.0	0.0	0.0	4
FIN	HG00190	HG00190	0.0	0.0	0.0	0.1466666666666667	0.0	0.0	0.0	0.0	0.4	0.0	0.32000000000000006	0.13333333333333336	1
ESN	HG03105	HG03105	0.36046511627906974	0.6395348837209303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
LWK	NA19024	NA19024	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03074	HG03074	0.35955056179775285	0.6404494382022472	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03391	HG03391	0.3636363636363636	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
TSI	NA20527	NA20527	0.0	0.0	0.0	0.0	0.0	0.0	0.13157894736842105	0.0	0.19736842105263158	0.0	0.47368421052631576	0.19736842105263158	1
CHS	HG00463	HG00463	0.0	0.0	0.0	0.0	0.5263157894736842	0.25263157894736843	0.0	0.0	0.0	0.22105263157894736	0.0	0.0	4
GIH	NA20847	NA20847	0.0	0.0	0.3770491803278689	0.0	0.0	0.0	0.6229508196721312	0.0	0.0	0.0	0.0	0.0	4
CDX	HG00881	HG00881	0.0	0.0	0.0	0.0	0.5368421052631579	0.17894736842105263	0.0	0.0	0.0	0.28421052631578947	0.0	0.0	4
ASW	NA19625	NA19625	0.2857142857142857	0.5714285714285714	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	2
TSI	NA20520	NA20520	0.0	0.0	0.15116279069767444	0.0	0.0	0.0	0.0	0.13953488372093023	0.19767441860465118	0.0	0.38372093023255816	0.12790697674418605	1
GWD	HG02561	HG02561	0.2	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GIH	NA20872	NA20872	0.0	0.0	0.3272727272727272	0.0	0.0	0.0	0.45454545454545453	0.0	0.0	0.0	0.21818181818181814	0.0	4
CHS	HG00403	HG00403	0.0	0.0	0.0	0.0	0.5531914893617021	0.2553191489361702	0.0	0.0	0.0	0.19148936170212766	0.0	0.0	4
CDX	HG00879	HG00879	0.0	0.0	0.0	0.0	0.5617977528089888	0.21348314606741575	0.0	0.0	0.0	0.22471910112359555	0.0	0.0	4
CHB	NA18532	NA18532	0.0	0.0	0.0	0.0	0.8686868686868687	0.0	0.0	0.0	0.0	0.13131313131313133	0.0	0.0	4
CHB	NA18546	NA18546	0.0	0.0	0.0	0.0	0.6276595744680851	0.19148936170212763	0.0	0.0	0.0	0.18085106382978725	0.0	0.0	4
GIH	NA20870	NA20870	0.0	0.0	0.21052631578947367	0.0	0.0	0.0	0.35526315789473684	0.0	0.13157894736842105	0.0	0.17105263157894737	0.13157894736842105	4
CHS	HG00457	HG00457	0.0	0.0	0.0	0.0	0.5263157894736842	0.23157894736842105	0.0	0.0	0.0	0.24210526315789477	0.0	0.0	4
MSL	HG03212	HG03212	0.3370786516853933	0.6629213483146068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
PJL	HG02657	HG02657	0.0	0.0	0.23287671232876714	0.0	0.0	0.0	0.4246575342465754	0.0	0.1506849315068493	0.0	0.19178082191780824	0.0	4
ITU	HG03713	HG03713	0.0	0.0	0.3278688524590164	0.0	0.0	0.0	0.4918032786885246	0.0	0.0	0.0	0.18032786885245902	0.0	4
CHB	NA18528	NA18528	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
FIN	HG00189	HG00189	0.0	0.0	0.0	0.18055555555555558	0.0	0.0	0.0	0.0	0.4861111111111111	0.0	0.3333333333333333	0.0	1
GWD	HG02461	HG02461	0.22	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG02923	HG02923	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01857	HG01857	0.0	0.0	0.0	0.0	0.5434782608695653	0.2173913043478261	0.0	0.0	0.0	0.2391304347826087	0.0	0.0	4
GBR	HG00096	HG00096	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
MSL	HG03073	HG03073	0.3563218390804597	0.6436781609195402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
LWK	NA19026	NA19026	0.369047619047619	0.6309523809523809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03077	HG03077	0.36781609195402293	0.632183908045977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01859	HG01859	0.0	0.0	0.0	0.0	0.5108695652173914	0.2065217391304348	0.0	0.0	0.0	0.28260869565217395	0.0	0.0	4
GIH	NA20863	NA20863	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4
BEB	HG03913	HG03913	0.0	0.0	0.3285714285714286	0.0	0.20000000000000004	0.0	0.4714285714285715	0.0	0.0	0.0	0.0	0.0	4
STU	HG03690	HG03690	0.0	0.0	0.31343283582089554	0.0	0.16417910447761197	0.0	0.5223880597014926	0.0	0.0	0.0	0.0	0.0	4
ASW	NA19901	NA19901	0.368421052631579	0.631578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01858	HG01858	0.0	0.0	0.0	0.0	0.532608695652174	0.2391304347826087	0.0	0.0	0.0	0.2282608695652174	0.0	0.0	4
YRI	NA18861	NA18861	0.34883720930232553	0.6511627906976744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ASW	NA19904	NA19904	0.3333333333333333	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03382	HG03382	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
STU	HG03643	HG03643	0.0	0.0	0.30645161290322576	0.0	0.16129032258064513	0.0	0.532258064516129	0.0	0.0	0.0	0.0	0.0	4
BEB	HG04140	HG04140	0.0	0.0	0.3050847457627119	0.0	0.2542372881355932	0.0	0.44067796610169496	0.0	0.0	0.0	0.0	0.0	4
MSL	HG03052	HG03052	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
PJL	HG02649	HG02649	0.0	0.0	0.2394366197183099	0.0	0.0	0.0	0.35211267605633806	0.0	0.15492957746478875	0.0	0.2535211267605634	0.0	4
YRI	NA18507	NA18507	0.4022988505747126	0.5977011494252874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ASW	NA19818	NA19818	0.15584415584415584	0.25974025974025977	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.12987012987012989	0.0	0.3116883116883117	0.0	2
CHB	NA18538	NA18538	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
FIN	HG00174	HG00174	0.0	0.0	0.0	0.12941176470588237	0.0	0.0	0.0	0.0	0.3764705882352941	0.0	0.31764705882352945	0.17647058823529413	1
CEU	NA11831	NA11831	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25675675675675674	0.0	0.5540540540540541	0.1891891891891892	1
CHB	NA18525	NA18525	0.0	0.0	0.0	0.0	0.66	0.12	0.0	0.0	0.0	0.22	0.0	0.0	4
PJL	HG02658	HG02658	0.0	0.0	0.35	0.0	0.0	0.0	0.46666666666666673	0.0	0.0	0.0	0.18333333333333335	0.0	4
ITU	HG03774	HG03774	0.0	0.0	0.4210526315789473	0.0	0.0	0.0	0.5789473684210525	0.0	0.0	0.0	0.0	0.0	4
CDX	HG01794	HG01794	0.0	0.0	0.0	0.0	0.5217391304347826	0.2065217391304348	0.0	0.0	0.0	0.27173913043478265	0.0	0.0	4
ACB	HG01885	HG01885	0.34210526315789475	0.6578947368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
BEB	HG03920	HG03920	0.0	0.0	0.23809523809523808	0.0	0.20634920634920637	0.0	0.5555555555555555	0.0	0.0	0.0	0.0	0.0	4
ITU	HG03742	HG03742	0.0	0.0	0.32812500000000006	0.0	0.18750000000000003	0.0	0.48437500000000006	0.0	0.0	0.0	0.0	0.0	4
GIH	NA20864	NA20864	0.0	0.0	0.21917808219178084	0.0	0.0	0.0	0.4246575342465754	0.0	0.0	0.0	0.2054794520547945	0.1506849315068493	4
YRI	NA18489	NA18489	0.3563218390804597	0.6436781609195402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03380	HG03380	0.34831460674157305	0.651685393258427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG02943	HG02943	0.36046511627906974	0.6395348837209303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CDX	HG01798	HG01798	0.0	0.0	0.0	0.0	0.5760869565217392	0.2173913043478261	0.0	0.0	0.0	0.2065217391304348	0.0	0.0	4
ITU	HG03722	HG03722	0.0	0.0	0.38888888888888884	0.0	0.0	0.0	0.611111111111111	0.0	0.0	0.0	0.0	0.0	4
LWK	NA19312	NA19312	0.3720930232558139	0.627906976744186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CHB	NA18548	NA18548	0.0	0.0	0.0	0.0	0.5894736842105264	0.24210526315789474	0.0	0.0	0.0	0.16842105263157894	0.0	0.0	4
GBR	HG00106	HG00106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15217391304347827	0.0	0.5434782608695652	0.30434782608695654	1
ASW	NA19921	NA19921	0.30434782608695654	0.5507246376811594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1449275362318841	0.0	2
CHB	NA18542	NA18542	0.0	0.0	0.0	0.0	0.5842696629213483	0.23595505617977527	0.0	0.0	0.0	0.1797752808988764	0.0	0.0	4
FIN	HG00266	HG00266	0.0	0.0	0.0	0.12987012987012989	0.0	0.0	0.0	0.12987012987012989	0.40259740259740256	0.0	0.33766233766233766	0.0	1
CEU	NA11829	NA11829	0.0	0.0	0.0	0.15384615384615385	0.0	0.0	0.0	0.10989010989010989	0.2967032967032967	0.0	0.2857142857142857	0.15384615384615385	1
IBS	HG01512	HG01512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7790697674418604	0.2209302325581395	1
GBR	HG00112	HG00112	0.0	0.0	0.0	0.12658227848101267	0.0	0.0	0.0	0.0	0.22784810126582278	0.0	0.4430379746835443	0.20253164556962025	1
YRI	NA18499	NA18499	0.36781609195402293	0.632183908045977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GIH	NA20866	NA20866	0.0	0.0	0.3529411764705882	0.0	0.0	0.0	0.6470588235294118	0.0	0.0	0.0	0.0	0.0	4
KHV	HG01852	HG01852	0.0	0.0	0.0	0.0	0.5494505494505494	0.1758241758241758	0.0	0.0	0.0	0.2747252747252747	0.0	0.0	4
MSL	HG03086	HG03086	0.3370786516853933	0.6629213483146068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03066	HG03066	0.3370786516853933	0.6629213483146068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01851	HG01851	0.0	0.0	0.0	0.0	0.5326086956521738	0.1847826086956522	0.0	0.0	0.0	0.2826086956521739	0.0	0.0	4
TSI	NA20524	NA20524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.5142857142857142	0.2	1
BEB	HG03917	HG03917	0.0	0.0	0.23076923076923075	0.0	0.1692307692307692	0.0	0.4307692307692308	0.0	0.1692307692307692	0.0	0.0	0.0	4
CHB	NA18547	NA18547	0.0	0.0	0.0	0.0	0.5869565217391305	0.25	0.0	0.0	0.0	0.16304347826086954	0.0	0.0	4
CEU	NA11892	NA11892	0.0	0.0	0.0	0.11235955056179776	0.0	0.0	0.0	0.1348314606741573	0.22471910112359553	0.0	0.3595505617977528	0.16853932584269662	1
ITU	HG03771	HG03771	0.0	0.0	0.42592592592592593	0.0	0.0	0.0	0.5740740740740741	0.0	0.0	0.0	0.0	0.0	4
LWK	NA19043	NA19043	0.34146341463414637	0.6585365853658537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG02941	HG02941	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
YRI	NA18486	NA18486	0.33720930232558144	0.6627906976744187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03376	HG03376	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG03108	HG03108	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CHS	HG00437	HG00437	0.0	0.0	0.0	0.0	0.568421052631579	0.23157894736842105	0.0	0.0	0.0	0.2	0.0	0.0	4
BEB	HG03905	HG03905	0.0	0.0	0.265625	0.0	0.0	0.0	0.40625	0.0	0.171875	0.0	0.15625	0.0	4
FIN	HG00273	HG00273	0.0	0.0	0.0	0.13253012048192772	0.0	0.0	0.0	0.0	0.43373493975903615	0.0	0.30120481927710846	0.13253012048192772	1
YRI	NA18864	NA18864	0.3522727272727273	0.6477272727272727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03060	HG03060	0.3370786516853933	0.6629213483146068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CDX	HG01801	HG01801	0.0	0.0	0.0	0.0	0.5698924731182796	0.1935483870967742	0.0	0.0	0.0	0.23655913978494625	0.0	0.0	4
KHV	HG01850	HG01850	0.0	0.0	0.0	0.0	0.5	0.22222222222222224	0.0	0.0	0.0	0.2777777777777778	0.0	0.0	4
LWK	NA19310	NA19310	0.34939759036144574	0.6506024096385542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
CHS	HG00446	HG00446	0.0	0.0	0.0	0.0	0.5869565217391305	0.1956521739130435	0.0	0.0	0.0	0.2173913043478261	0.0	0.0	4
ACB	HG01879	HG01879	0.38888888888888895	0.6111111111111112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GIH	NA20849	NA20849	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4
CEU	NA10851	NA10851	0.0	0.0	0.0	0.15476190476190477	0.0	0.0	0.0	0.0	0.30952380952380953	0.0	0.36904761904761907	0.16666666666666669	1
YRI	NA18505	NA18505	0.34090909090909094	0.6590909090909092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GWD	HG02586	HG02586	0.33720930232558144	0.6627906976744187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ASW	NA19712	NA19712	0.34210526315789475	0.6578947368421053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01598	HG01598	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.57	0.0	0.0	4
LWK	NA19037	NA19037	0.3780487804878048	0.6219512195121951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG03099	HG03099	0.3258426966292135	0.6741573033707866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ASW	NA19711	NA19711	0.3375	0.6625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
KHV	HG01599	HG01599	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.73	0.0	0.0	4
ASW	NA19701	NA19701	0.36000000000000004	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
MSL	HG03072	HG03072	0.34831460674157305	0.651685393258427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
BEB	HG03919	HG03919	0.0	0.0	0.39215686274509803	0.0	0.0	0.0	0.6078431372549019	0.0	0.0	0.0	0.0	0.0	4
STU	HG03686	HG03686	0.0	0.0	0.28169014084507044	0.0	0.1971830985915493	0.0	0.5211267605633803	0.0	0.0	0.0	0.0	0.0	4
BEB	HG03937	HG03937	0.0	0.0	0.3064516129032258	0.0	0.22580645161290325	0.0	0.46774193548387094	0.0	0.0	0.0	0.0	0.0	4
BEB	HG03916	HG03916	0.0	0.0	0.3492063492063492	0.0	0.1746031746031746	0.0	0.47619047619047616	0.0	0.0	0.0	0.0	0.0	4
ACB	HG01990	HG01990	0.31764705882352945	0.6823529411764706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
LWK	NA19028	NA19028	0.3658536585365853	0.6341463414634146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
GIH	NA20850	NA20850	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
GWD	HG02613	HG02613	0.3529411764705882	0.6470588235294118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ESN	HG02944	HG02944	0.36046511627906974	0.6395348837209303	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ACB	HG01912	HG01912	0.37349397590361444	0.6265060240963856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
ITU	HG03729	HG03729	0.0	0.0	0.28	0.0	0.16000000000000003	0.0	0.4133333333333334	0.0	0.1466666666666667	0.0	0.0	0.0	4
KHV	HG01841	HG01841	0.0	0.0	0.0	0.0	0.5227272727272727	0.1931818181818182	0.0	0.0	0.0	0.2840909090909091	0.0	0.0	4
MSL	HG03091	HG03091	0.33333333333333337	0.6666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
FIN	HG00269	HG00269	0.0	0.0	0.0	0.19117647058823528	0.0	0.0	0.0	0.0	0.5882352941176471	0.0	0.2205882352941176	0.0	1
TSI	NA20505	NA20505	0.0	0.0	0.0	0.17500000000000002	0.0	0.0	0.0	0.0	0.19999999999999998	0.0	0.44999999999999996	0.17500000000000002	1
YRI	NA18522	NA18522	0.3636363636363636	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
PJL	HG02661	HG02661	0.0	0.0	0.37931034482758624	0.0	0.0	0.0	0.4310344827586207	0.0	0.0	0.0	0.18965517241379312	0.0	4
MSL	HG03069	HG03069	0.3636363636363636	0.6363636363636364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2
